domain,condition,conversation_id,mean_abs_delta,flip_rate,oscillation_index
photoshop,anchored,photoshop_anchored_000,0.6983969045944072,0.6,1.1174350473510515
photoshop,anchored,photoshop_anchored_001,0.4832569897068013,0.4,0.6765597855895218
photoshop,anchored,photoshop_anchored_002,0.5245477960875543,0.8,0.9441860329575977
photoshop,anchored,photoshop_anchored_003,0.23996316039773058,0.6,0.38394105663636896
photoshop,anchored,photoshop_anchored_004,0.6231800279663154,1.0,1.2463600559326309
photoshop,anchored,photoshop_anchored_005,0.5065936112147255,0.4,0.7092310557006156
photoshop,anchored,photoshop_anchored_006,0.46227063689960796,0.6,0.7396330190393727
photoshop,anchored,photoshop_anchored_007,0.1976692564789965,0.2,0.23720310777479578
photoshop,anchored,photoshop_anchored_008,0.7595435406673773,0.8,1.3671783732012792
photoshop,anchored,photoshop_anchored_009,0.49189567046472665,0.8,0.885412206836508
photoshop,anchored,photoshop_anchored_010,0.3197791952150404,0.2,0.38373503425804845
photoshop,anchored,photoshop_anchored_011,0.3003978270551247,0.8,0.5407160886992245
photoshop,anchored,photoshop_anchored_012,0.3858298275516667,0.8,0.6944936895930002
photoshop,anchored,photoshop_anchored_013,0.7719711478985097,0.8,1.3895480662173176
photoshop,anchored,photoshop_anchored_014,0.3532549248424119,0.8,0.6358588647163415
photoshop,anchored,photoshop_anchored_015,0.38824747025881434,0.6,0.621195952414103
photoshop,anchored,photoshop_anchored_016,0.26388544237553896,1.0,0.5277708847510779
photoshop,anchored,photoshop_anchored_017,0.36996774939441623,0.6,0.591948399031066
photoshop,anchored,photoshop_anchored_018,0.6372111618072682,0.6,1.0195378588916293
photoshop,anchored,photoshop_anchored_019,0.34956406481454755,0.6,0.559302503703276
photoshop,anchored,photoshop_anchored_020,0.513251318599618,0.6,0.8212021097593889
photoshop,anchored,photoshop_anchored_021,0.34544535172348684,0.6,0.552712562757579
photoshop,anchored,photoshop_anchored_022,0.270196889025587,0.8,0.4863544002460566
photoshop,anchored,photoshop_anchored_023,0.7618137485236538,1.0,1.5236274970473076
photoshop,anchored,photoshop_anchored_024,0.14735122052858127,0.8,0.2652321969514463
photoshop,anchored,photoshop_anchored_025,0.5379258548299114,0.8,0.9682665386938405
photoshop,anchored,photoshop_anchored_026,0.2333512170853149,0.6,0.37336194733650385
photoshop,anchored,photoshop_anchored_027,0.6923649864602318,0.8,1.2462569756284172
photoshop,anchored,photoshop_anchored_028,0.430800885189345,0.8,0.7754415933408211
photoshop,anchored,photoshop_anchored_029,0.5911607282208965,0.8,1.0640893107976137
photoshop,anchored,photoshop_anchored_030,0.6077244109731038,0.4,0.8508141753623453
photoshop,anchored,photoshop_anchored_031,0.2495660158942327,0.8,0.44921882860961887
photoshop,anchored,photoshop_anchored_032,1.3037627052137837,0.6,2.086020328342054
photoshop,anchored,photoshop_anchored_033,0.3104701358111105,0.4,0.4346581901355547
photoshop,anchored,photoshop_anchored_034,0.6772177327009787,0.6,1.083548372321566
photoshop,anchored,photoshop_anchored_035,0.4955282243256461,0.8,0.891950803786163
photoshop,anchored,photoshop_anchored_036,0.5603495986580406,0.8,1.008629277584473
photoshop,anchored,photoshop_anchored_037,0.19799562672606,0.6,0.31679300276169603
photoshop,anchored,photoshop_anchored_038,0.6261011550057684,0.4,0.8765416170080756
photoshop,anchored,photoshop_anchored_039,0.5949308013678142,0.8,1.0708754424620655
photoshop,consistent_basic,photoshop_consistent_basic_000,1.647495387583213,0.4,2.306493542616498
photoshop,consistent_basic,photoshop_consistent_basic_001,0.756586951538759,1.0,1.513173903077518
photoshop,consistent_basic,photoshop_consistent_basic_002,0.7601512136383352,0.8,1.3682721845490033
photoshop,consistent_basic,photoshop_consistent_basic_003,1.0021589697817286,0.2,1.2025907637380742
photoshop,consistent_basic,photoshop_consistent_basic_004,1.048320341754805,0.4,1.467648478456727
photoshop,consistent_basic,photoshop_consistent_basic_005,0.3417880844684717,0.6,0.5468609351495547
photoshop,consistent_basic,photoshop_consistent_basic_006,0.21589236146111693,0.6,0.3454277783377871
photoshop,consistent_basic,photoshop_consistent_basic_007,1.5703350687424464,0.8,2.8266031237364038
photoshop,consistent_basic,photoshop_consistent_basic_008,0.7781347644659927,0.6,1.2450156231455884
photoshop,consistent_basic,photoshop_consistent_basic_009,0.8507864355177869,0.4,1.1911010097249015
photoshop,consistent_basic,photoshop_consistent_basic_010,1.6340070046801174,0.4,2.2876098065521644
photoshop,consistent_basic,photoshop_consistent_basic_011,1.152427425961711,0.6,1.843883881538738
photoshop,consistent_basic,photoshop_consistent_basic_012,1.9278668821517524,0.6,3.084587011442804
photoshop,consistent_basic,photoshop_consistent_basic_013,0.7311737322112668,0.2,0.8774084786535201
photoshop,consistent_basic,photoshop_consistent_basic_014,0.4905846096433734,0.4,0.6868184535007228
photoshop,consistent_basic,photoshop_consistent_basic_015,1.0405603125143181,0.6,1.664896500022909
photoshop,consistent_basic,photoshop_consistent_basic_016,0.48341700721987596,0.8,0.8701506129957768
photoshop,consistent_basic,photoshop_consistent_basic_017,1.3200609778272296,0.0,1.3200609778272296
photoshop,consistent_basic,photoshop_consistent_basic_018,0.2541692644017961,0.6,0.4066708230428738
photoshop,consistent_basic,photoshop_consistent_basic_019,1.1132542236803846,0.2,1.3359050684164615
photoshop,consistent_basic,photoshop_consistent_basic_020,0.6859792785627677,0.6,1.0975668457004284
photoshop,consistent_basic,photoshop_consistent_basic_021,0.8097393449467035,0.8,1.4575308209040663
photoshop,consistent_basic,photoshop_consistent_basic_022,0.8823764450583305,1.0,1.764752890116661
photoshop,consistent_basic,photoshop_consistent_basic_023,1.9437242529697762,0.8,3.4987036553455972
photoshop,consistent_basic,photoshop_consistent_basic_024,0.27641909972633566,0.6,0.44227055956213707
photoshop,consistent_basic,photoshop_consistent_basic_025,0.7693132489719937,0.6,1.23090119835519
photoshop,consistent_basic,photoshop_consistent_basic_026,0.6875555297566315,0.4,0.962577741659284
photoshop,consistent_basic,photoshop_consistent_basic_027,0.4385716128802268,0.6,0.7017145806083629
photoshop,consistent_basic,photoshop_consistent_basic_028,0.3403412632732274,0.6,0.5445460212371639
photoshop,consistent_basic,photoshop_consistent_basic_029,0.20111446887098183,0.8,0.3620060439677673
photoshop,consistent_basic,photoshop_consistent_basic_030,0.4686127347785433,0.8,0.8435029226013779
photoshop,consistent_basic,photoshop_consistent_basic_031,1.1542861387463044,0.8,2.077715049743348
photoshop,consistent_basic,photoshop_consistent_basic_032,0.7726721690960442,0.6,1.2362754705536707
photoshop,consistent_basic,photoshop_consistent_basic_033,1.48323856761895,0.6,2.37318170819032
photoshop,consistent_basic,photoshop_consistent_basic_034,1.0527130065911734,0.4,1.4737982092276427
photoshop,consistent_basic,photoshop_consistent_basic_035,1.565291444403292,0.4,2.1914080221646084
photoshop,consistent_basic,photoshop_consistent_basic_036,0.6842970008583991,0.8,1.2317346015451183
photoshop,consistent_basic,photoshop_consistent_basic_037,0.9559095678456152,0.8,1.7206372221221073
photoshop,consistent_basic,photoshop_consistent_basic_038,0.4808314705032495,0.6,0.7693303528051992
photoshop,consistent_basic,photoshop_consistent_basic_039,1.0602119657317008,0.4,1.484296752024381
photoshop,consistent_technical,photoshop_consistent_technical_000,1.0236661079829423,0.6,1.6378657727727077
photoshop,consistent_technical,photoshop_consistent_technical_001,0.2926549681769512,0.6,0.46824794908312195
photoshop,consistent_technical,photoshop_consistent_technical_002,0.7557520623285185,0.6,1.2092032997256297
photoshop,consistent_technical,photoshop_consistent_technical_003,0.3837802028941027,0.2,0.4605362434729232
photoshop,consistent_technical,photoshop_consistent_technical_004,0.7312147129430925,0.4,1.0237005981203293
photoshop,consistent_technical,photoshop_consistent_technical_005,0.5115440412427575,0.8,0.9207792742369636
photoshop,consistent_technical,photoshop_consistent_technical_006,0.49960929302626483,0.4,0.6994530102367708
photoshop,consistent_technical,photoshop_consistent_technical_007,0.3101862745450901,0.6,0.4962980392721442
photoshop,consistent_technical,photoshop_consistent_technical_008,0.2676526260517914,0.6,0.42824420168286625
photoshop,consistent_technical,photoshop_consistent_technical_009,0.4649616346980013,0.0,0.4649616346980013
photoshop,consistent_technical,photoshop_consistent_technical_010,1.2628728792790578,0.8,2.273171182702304
photoshop,consistent_technical,photoshop_consistent_technical_011,1.5592265131891114,0.6,2.4947624211025783
photoshop,consistent_technical,photoshop_consistent_technical_012,0.9423498482218268,0.6,1.5077597571549228
photoshop,consistent_technical,photoshop_consistent_technical_013,0.5098960208479971,0.8,0.9178128375263949
photoshop,consistent_technical,photoshop_consistent_technical_014,0.40358362881568804,0.6,0.6457338061051009
photoshop,consistent_technical,photoshop_consistent_technical_015,0.6414479879225131,0.8,1.1546063782605236
photoshop,consistent_technical,photoshop_consistent_technical_016,0.486409118046315,0.2,0.583690941655578
photoshop,consistent_technical,photoshop_consistent_technical_017,1.1133251518254312,0.8,2.0039852732857764
photoshop,consistent_technical,photoshop_consistent_technical_018,0.787137537149925,1.0,1.57427507429985
photoshop,consistent_technical,photoshop_consistent_technical_019,0.5289029076877514,1.0,1.0578058153755028
photoshop,consistent_technical,photoshop_consistent_technical_020,0.900957331265667,0.6,1.4415317300250674
photoshop,consistent_technical,photoshop_consistent_technical_021,0.2835546457330858,0.8,0.5103983623195545
photoshop,consistent_technical,photoshop_consistent_technical_022,0.3324564759713531,0.6,0.531930361554165
photoshop,consistent_technical,photoshop_consistent_technical_023,0.35292102744529497,0.8,0.635257849401531
photoshop,consistent_technical,photoshop_consistent_technical_024,0.7187060103163555,0.8,1.2936708185694399
photoshop,consistent_technical,photoshop_consistent_technical_025,0.6006430814596811,0.6,0.9610289303354899
photoshop,consistent_technical,photoshop_consistent_technical_026,0.5478446441392903,0.2,0.6574135729671484
photoshop,consistent_technical,photoshop_consistent_technical_027,0.6854087589036354,0.8,1.2337357660265438
photoshop,consistent_technical,photoshop_consistent_technical_028,0.5683213278982154,0.8,1.0229783902167877
photoshop,consistent_technical,photoshop_consistent_technical_029,0.3439691530787736,0.6,0.5503506449260378
photoshop,consistent_technical,photoshop_consistent_technical_030,0.3571034076166784,0.6,0.5713654521866854
photoshop,consistent_technical,photoshop_consistent_technical_031,0.7911234591486788,0.6,1.265797534637886
photoshop,consistent_technical,photoshop_consistent_technical_032,0.6473090324018306,0.6,1.035694451842929
photoshop,consistent_technical,photoshop_consistent_technical_033,0.6297328228924436,0.2,0.7556793874709323
photoshop,consistent_technical,photoshop_consistent_technical_034,0.31505837073691295,0.6,0.5040933931790608
photoshop,consistent_technical,photoshop_consistent_technical_035,0.6009999810985059,0.6,0.9615999697576095
photoshop,consistent_technical,photoshop_consistent_technical_036,1.1861801554029985,0.4,1.6606522175641978
photoshop,consistent_technical,photoshop_consistent_technical_037,0.3031514779606839,0.8,0.5456726603292311
photoshop,consistent_technical,photoshop_consistent_technical_038,0.3600342941107649,0.8,0.6480617293993768
photoshop,consistent_technical,photoshop_consistent_technical_039,0.2797679554079046,0.4,0.3916751375710664
photoshop,oscillatory,photoshop_oscillatory_000,3.9684535859609062,1.0,7.9369071719218125
photoshop,oscillatory,photoshop_oscillatory_001,0.3604338945754688,0.8,0.6487810102358439
photoshop,oscillatory,photoshop_oscillatory_002,1.2073667158495773,0.4,1.6903134021894082
photoshop,oscillatory,photoshop_oscillatory_003,1.752627732554105,0.6,2.804204372086568
photoshop,oscillatory,photoshop_oscillatory_004,0.9335992074938121,0.8,1.6804785734888619
photoshop,oscillatory,photoshop_oscillatory_005,1.108405678111488,0.6,1.7734490849783808
photoshop,oscillatory,photoshop_oscillatory_006,0.4191955005038415,0.8,0.7545519009069147
photoshop,oscillatory,photoshop_oscillatory_007,0.9301916675501642,0.2,1.116230001060197
photoshop,oscillatory,photoshop_oscillatory_008,0.4908148596548425,1.0,0.981629719309685
photoshop,oscillatory,photoshop_oscillatory_009,0.8551023670718667,0.6,1.3681637873149868
photoshop,oscillatory,photoshop_oscillatory_010,1.1884504146138204,0.6,1.9015206633821127
photoshop,oscillatory,photoshop_oscillatory_011,0.9265098045353543,0.6,1.4824156872565668
photoshop,oscillatory,photoshop_oscillatory_012,0.929783450431699,1.0,1.859566900863398
photoshop,oscillatory,photoshop_oscillatory_013,1.0446314254671452,0.4,1.4624839956540032
photoshop,oscillatory,photoshop_oscillatory_014,0.5879968276123462,0.6,0.940794924179754
photoshop,oscillatory,photoshop_oscillatory_015,1.3135545716511448,0.6,2.101687314641832
photoshop,oscillatory,photoshop_oscillatory_016,0.3046245415588086,0.8,0.5483241748058555
photoshop,oscillatory,photoshop_oscillatory_017,1.7712557726563771,1.0,3.5425115453127543
photoshop,oscillatory,photoshop_oscillatory_018,2.353670548561116,1.0,4.707341097122232
photoshop,oscillatory,photoshop_oscillatory_019,3.428992817198226,0.8,6.172187070956807
photoshop,oscillatory,photoshop_oscillatory_020,1.1761732799845594,1.0,2.352346559969119
photoshop,oscillatory,photoshop_oscillatory_021,0.5497091191209081,1.0,1.0994182382418163
photoshop,oscillatory,photoshop_oscillatory_022,0.9267079477569785,0.6,1.4827327164111657
photoshop,oscillatory,photoshop_oscillatory_023,0.5045685952512601,1.0,1.0091371905025202
photoshop,oscillatory,photoshop_oscillatory_024,1.2146567798504444,0.8,2.1863822037308
photoshop,oscillatory,photoshop_oscillatory_025,0.7182368975999557,0.2,0.8618842771199468
photoshop,oscillatory,photoshop_oscillatory_026,0.6198357297854145,0.6,0.9917371676566632
photoshop,oscillatory,photoshop_oscillatory_027,3.006253712851985,1.0,6.01250742570397
photoshop,oscillatory,photoshop_oscillatory_028,0.5797672536543212,0.6,0.9276276058469141
photoshop,oscillatory,photoshop_oscillatory_029,1.1058684857130932,0.6,1.7693895771409491
photoshop,oscillatory,photoshop_oscillatory_030,0.8440949798999394,1.0,1.6881899597998788
photoshop,oscillatory,photoshop_oscillatory_031,1.1349895773142387,0.6,1.815983323702782
photoshop,oscillatory,photoshop_oscillatory_032,1.1123214921310032,0.6,1.779714387409605
photoshop,oscillatory,photoshop_oscillatory_033,1.879494827872037,1.0,3.758989655744074
photoshop,oscillatory,photoshop_oscillatory_034,1.8434695637650094,1.0,3.6869391275300187
photoshop,oscillatory,photoshop_oscillatory_035,1.0874313828944435,0.6,1.7398902126311098
photoshop,oscillatory,photoshop_oscillatory_036,0.6519710183398796,0.6,1.0431536293438073
photoshop,oscillatory,photoshop_oscillatory_037,0.8883570273659679,1.0,1.7767140547319358
photoshop,oscillatory,photoshop_oscillatory_038,0.6806408925683577,0.4,0.9528972495957007
photoshop,oscillatory,photoshop_oscillatory_039,0.6946491857787453,0.6,1.1114386972459926
python,anchored,python_anchored_000,0.8178685570695596,0.4,1.1450159798973834
python,anchored,python_anchored_001,0.2881467973406476,0.4,0.4034055162769066
python,anchored,python_anchored_002,0.4132027500033773,0.6,0.6611244000054037
python,anchored,python_anchored_003,0.5903637311978636,0.8,1.0626547161561544
python,anchored,python_anchored_004,0.30894437178729417,0.6,0.49431099485967067
python,anchored,python_anchored_005,0.44954936598861894,0.8,0.8091888587795141
python,anchored,python_anchored_006,0.3567403887592085,0.4,0.49943654426289186
python,anchored,python_anchored_007,0.4948639009352352,0.6,0.7917822414963763
python,anchored,python_anchored_008,0.5409537281733177,0.6,0.8655259650773083
python,anchored,python_anchored_009,0.7012757071428926,0.8,1.2622962728572067
python,anchored,python_anchored_010,0.1571224271445891,0.8,0.2828203688602604
python,anchored,python_anchored_011,0.920261557925297,0.8,1.6564708042655345
python,anchored,python_anchored_012,0.29055127382611834,0.6,0.46488203812178935
python,anchored,python_anchored_013,0.8794057483105241,0.6,1.4070491972968386
python,anchored,python_anchored_014,1.052668889640241,0.2,1.263202667568289
python,anchored,python_anchored_015,0.552917852525552,0.6,0.8846685640408833
python,anchored,python_anchored_016,0.670899383768233,0.8,1.2076188907828194
python,anchored,python_anchored_017,0.25889611640773685,1.0,0.5177922328154737
python,anchored,python_anchored_018,0.9950058369247131,0.8,1.7910105064644837
python,anchored,python_anchored_019,0.3364773629317936,0.2,0.4037728355181523
python,anchored,python_anchored_020,0.4883216817636482,0.2,0.5859860181163778
python,anchored,python_anchored_021,0.769964661680886,0.2,0.9239575940170631
python,anchored,python_anchored_022,0.23463791597258998,0.8,0.42234824875066196
python,anchored,python_anchored_023,0.5246976906402007,0.8,0.9444558431523612
python,anchored,python_anchored_024,0.3082358054499486,0.8,0.5548244498099075
python,anchored,python_anchored_025,0.7370639601966741,0.6,1.1793023363146786
python,anchored,python_anchored_026,1.1485814180652956,0.6,1.837730268904473
python,anchored,python_anchored_027,0.5484711177716103,0.6,0.8775537884345765
python,anchored,python_anchored_028,0.4884798292012306,0.6,0.7815677267219691
python,anchored,python_anchored_029,1.0276179475397338,0.6,1.6441887160635742
python,anchored,python_anchored_030,0.2867466104977427,0.2,0.3440959325972912
python,anchored,python_anchored_031,0.5251778556563756,0.8,0.9453201401814761
python,anchored,python_anchored_032,0.3139467106161573,0.8,0.5651040791090832
python,anchored,python_anchored_033,0.48746117158665864,0.6,0.7799378745386538
python,anchored,python_anchored_034,0.7677324934113136,0.2,0.9212789920935762
python,anchored,python_anchored_035,0.5647615807809374,0.8,1.0165708454056874
python,anchored,python_anchored_036,1.0640464317419036,0.4,1.489665004438665
python,anchored,python_anchored_037,0.50926124956711,0.8,0.9166702492207981
python,anchored,python_anchored_038,0.8713763524933307,0.8,1.5684774344879953
python,anchored,python_anchored_039,0.8500906253165894,0.8,1.530163125569861
python,consistent_basic,python_consistent_basic_000,1.479573693520108,0.8,2.6632326483361943
python,consistent_basic,python_consistent_basic_001,0.7010771827766158,0.8,1.2619389289979084
python,consistent_basic,python_consistent_basic_002,0.541090710492325,0.8,0.9739632788861851
python,consistent_basic,python_consistent_basic_003,0.629466739741644,0.6,1.0071467835866306
python,consistent_basic,python_consistent_basic_004,0.7627662295369788,0.6,1.2204259672591662
python,consistent_basic,python_consistent_basic_005,0.6515198200501016,1.0,1.3030396401002031
python,consistent_basic,python_consistent_basic_006,0.9814904295799548,0.6,1.5703846873279277
python,consistent_basic,python_consistent_basic_007,2.3546221186689626,0.4,3.2964709661365474
python,consistent_basic,python_consistent_basic_008,0.7786731909531719,0.8,1.4016117437157094
python,consistent_basic,python_consistent_basic_009,1.6136339459399016,0.6,2.581814313503843
python,consistent_basic,python_consistent_basic_010,1.0365985135260083,0.4,1.4512379189364115
python,consistent_basic,python_consistent_basic_011,1.2184825733377478,0.8,2.193268632007946
python,consistent_basic,python_consistent_basic_012,0.9618330471629201,0.4,1.346566266028088
python,consistent_basic,python_consistent_basic_013,0.6847994972303916,0.4,0.9587192961225481
python,consistent_basic,python_consistent_basic_014,1.038912942384609,0.2,1.2466955308615308
python,consistent_basic,python_consistent_basic_015,0.6116826100052378,0.8,1.1010286980094282
python,consistent_basic,python_consistent_basic_016,1.4566609709244134,0.6,2.3306575534790617
python,consistent_basic,python_consistent_basic_017,1.0389778975453707,0.6,1.6623646360725932
python,consistent_basic,python_consistent_basic_018,1.220468607237837,0.4,1.7086560501329717
python,consistent_basic,python_consistent_basic_019,0.8029439265859869,1.0,1.6058878531719738
python,consistent_basic,python_consistent_basic_020,0.9197664503103281,0.6,1.471626320496525
python,consistent_basic,python_consistent_basic_021,1.4372145536571566,0.8,2.586986196582882
python,consistent_basic,python_consistent_basic_022,0.5660217720140142,0.6,0.9056348352224227
python,consistent_basic,python_consistent_basic_023,0.5685021941830889,0.8,1.02330394952956
python,consistent_basic,python_consistent_basic_024,1.0401237277663669,0.2,1.2481484733196402
python,consistent_basic,python_consistent_basic_025,3.1111332711967545,0.6,4.977813233914808
python,consistent_basic,python_consistent_basic_026,1.2720714387097187,0.4,1.780900014193606
python,consistent_basic,python_consistent_basic_027,1.1567163522611972,1.0,2.3134327045223944
python,consistent_basic,python_consistent_basic_028,0.5309725247960433,0.2,0.637167029755252
python,consistent_basic,python_consistent_basic_029,1.7601691674644648,0.6,2.8162706679431437
python,consistent_basic,python_consistent_basic_030,0.6491536220852082,0.8,1.1684765197533749
python,consistent_basic,python_consistent_basic_031,0.9431671957341061,0.4,1.3204340740277485
python,consistent_basic,python_consistent_basic_032,0.820898416503911,1.0,1.641796833007822
python,consistent_basic,python_consistent_basic_033,0.837903249218015,0.8,1.508225848592427
python,consistent_basic,python_consistent_basic_034,1.354981556650485,0.6,2.167970490640776
python,consistent_basic,python_consistent_basic_035,2.6926787023446406,0.8,4.846821664220353
python,consistent_basic,python_consistent_basic_036,1.450308992358537,0.8,2.6105561862453666
python,consistent_basic,python_consistent_basic_037,1.205454378243424,0.6,1.9287270051894785
python,consistent_basic,python_consistent_basic_038,0.6213553811958608,0.8,1.1184396861525494
python,consistent_basic,python_consistent_basic_039,1.5142515408859634,0.8,2.7256527735947342
python,consistent_technical,python_consistent_technical_000,0.8254873707875591,0.6,1.3207797932600946
python,consistent_technical,python_consistent_technical_001,2.2741706537505473,0.8,4.093507176750985
python,consistent_technical,python_consistent_technical_002,1.4407686155267785,1.0,2.881537231053557
python,consistent_technical,python_consistent_technical_003,1.0119518023057843,0.8,1.8215132441504118
python,consistent_technical,python_consistent_technical_004,0.7021244046971956,0.4,0.9829741665760738
python,consistent_technical,python_consistent_technical_005,0.9488537469805512,0.8,1.7079367445649922
python,consistent_technical,python_consistent_technical_006,0.6026243578891209,0.6,0.9641989726225936
python,consistent_technical,python_consistent_technical_007,0.6018085761218691,0.2,0.7221702913462429
python,consistent_technical,python_consistent_technical_008,1.5167878714883571,0.4,2.1235030200837
python,consistent_technical,python_consistent_technical_009,0.8883852666973683,0.4,1.2437393733763156
python,consistent_technical,python_consistent_technical_010,1.0910486660095229,0.4,1.527468132413332
python,consistent_technical,python_consistent_technical_011,1.30216971363409,0.6,2.083471541814544
python,consistent_technical,python_consistent_technical_012,1.0516982509808908,0.6,1.6827172015694254
python,consistent_technical,python_consistent_technical_013,1.5587249057907702,0.8,2.8057048304233865
python,consistent_technical,python_consistent_technical_014,0.33482137478838053,0.8,0.602678474619085
python,consistent_technical,python_consistent_technical_015,0.5954368986718247,0.6,0.9526990378749196
python,consistent_technical,python_consistent_technical_016,0.6473954339829275,0.8,1.1653117811692697
python,consistent_technical,python_consistent_technical_017,0.5364018656357058,0.8,0.9655233581442705
python,consistent_technical,python_consistent_technical_018,1.9439553101915443,0.6,3.110328496306471
python,consistent_technical,python_consistent_technical_019,1.2171439843983645,0.4,1.7040015781577103
python,consistent_technical,python_consistent_technical_020,1.4008150474224106,0.6,2.241304075875857
python,consistent_technical,python_consistent_technical_021,0.4460191818545674,0.6,0.7136306909673079
python,consistent_technical,python_consistent_technical_022,0.7855718049243631,0.6,1.256914887878981
python,consistent_technical,python_consistent_technical_023,0.743349479142521,0.4,1.0406892707995294
python,consistent_technical,python_consistent_technical_024,0.5043603615405035,0.8,0.9078486507729062
python,consistent_technical,python_consistent_technical_025,0.9194095152731355,0.2,1.1032914183277627
python,consistent_technical,python_consistent_technical_026,0.5400204098919109,0.8,0.9720367378054396
python,consistent_technical,python_consistent_technical_027,0.6836161678283226,0.8,1.2305091020909806
python,consistent_technical,python_consistent_technical_028,0.2796289012200595,0.6,0.4474062419520952
python,consistent_technical,python_consistent_technical_029,0.8040130709102584,0.8,1.4472235276384653
python,consistent_technical,python_consistent_technical_030,2.541921461880825,1.0,5.08384292376165
python,consistent_technical,python_consistent_technical_031,0.28234746375726666,0.8,0.50822543476308
python,consistent_technical,python_consistent_technical_032,1.237551098520516,0.4,1.7325715379287223
python,consistent_technical,python_consistent_technical_033,1.2796782205992925,0.4,1.7915495088390094
python,consistent_technical,python_consistent_technical_034,0.5590962129574312,0.6,0.8945539407318899
python,consistent_technical,python_consistent_technical_035,1.0073819083728166,0.6,1.6118110533965067
python,consistent_technical,python_consistent_technical_036,1.199910435839601,0.6,1.919856697343362
python,consistent_technical,python_consistent_technical_037,0.6032677047127007,0.4,0.844574786597781
python,consistent_technical,python_consistent_technical_038,0.38892816535893293,0.6,0.6222850645742928
python,consistent_technical,python_consistent_technical_039,1.9236792092501156,0.6,3.077886734800185
python,oscillatory,python_oscillatory_000,1.0666168957280568,0.4,1.4932636540192794
python,oscillatory,python_oscillatory_001,2.848919377120105,1.0,5.69783875424021
python,oscillatory,python_oscillatory_002,2.5089405829085796,1.0,5.017881165817159
python,oscillatory,python_oscillatory_003,3.436288824015445,1.0,6.87257764803089
python,oscillatory,python_oscillatory_004,1.5633473920986118,0.6,2.501355827357779
python,oscillatory,python_oscillatory_005,1.8378704069650986,0.8,3.3081667325371775
python,oscillatory,python_oscillatory_006,1.424955421720611,0.4,1.9949375904088553
python,oscillatory,python_oscillatory_007,0.8105464000489251,0.8,1.4589835200880652
python,oscillatory,python_oscillatory_008,2.794471313143166,1.0,5.588942626286332
python,oscillatory,python_oscillatory_009,2.3073235646389123,0.8,4.153182416350043
python,oscillatory,python_oscillatory_010,0.6648863316827107,0.4,0.9308408643557949
python,oscillatory,python_oscillatory_011,1.4549209900050204,0.6,2.327873584008033
python,oscillatory,python_oscillatory_012,1.334030077692143,0.8,2.4012541398458573
python,oscillatory,python_oscillatory_013,1.2547713642895326,0.6,2.0076341828632525
python,oscillatory,python_oscillatory_014,1.5110124294183185,0.8,2.719822372952973
python,oscillatory,python_oscillatory_015,2.0933237489058185,1.0,4.186647497811637
python,oscillatory,python_oscillatory_016,1.1404149470727543,0.6,1.8246639153164068
python,oscillatory,python_oscillatory_017,2.0115177141651572,0.6,3.218428342664252
python,oscillatory,python_oscillatory_018,1.9341607598049093,1.0,3.8683215196098186
python,oscillatory,python_oscillatory_019,1.6079154474128685,1.0,3.215830894825737
python,oscillatory,python_oscillatory_020,1.837204420106997,0.4,2.572086188149796
python,oscillatory,python_oscillatory_021,2.658951910039723,1.0,5.317903820079446
python,oscillatory,python_oscillatory_022,1.3461880768410002,0.8,2.4231385383138004
python,oscillatory,python_oscillatory_023,1.9022615221286028,0.6,3.0436184354057647
python,oscillatory,python_oscillatory_024,1.0254746701041797,0.4,1.4356645381458515
python,oscillatory,python_oscillatory_025,2.596741081119981,0.8,4.674133946015966
python,oscillatory,python_oscillatory_026,1.0954043084147493,0.6,1.752646893463599
python,oscillatory,python_oscillatory_027,1.052929955246768,0.8,1.8952739194441823
python,oscillatory,python_oscillatory_028,1.319914887634006,0.8,2.375846797741211
python,oscillatory,python_oscillatory_029,1.345403631039563,0.4,1.883565083455388
python,oscillatory,python_oscillatory_030,1.3005086741141934,0.8,2.340915613405548
python,oscillatory,python_oscillatory_031,1.2538016446389462,0.8,2.2568429603501032
python,oscillatory,python_oscillatory_032,1.9305255722231527,0.6,3.0888409155570447
python,oscillatory,python_oscillatory_033,2.201062952257626,0.8,3.9619133140637266
python,oscillatory,python_oscillatory_034,1.5873499185362567,0.8,2.8572298533652623
python,oscillatory,python_oscillatory_035,2.927652979178596,1.0,5.855305958357192
python,oscillatory,python_oscillatory_036,1.097986347678458,0.8,1.9763754258212243
python,oscillatory,python_oscillatory_037,2.2851776794275853,0.6,3.6562842870841368
python,oscillatory,python_oscillatory_038,3.4182056537827106,1.0,6.836411307565421
python,oscillatory,python_oscillatory_039,0.9372375100795232,1.0,1.8744750201590463
